Koordinatat e lejës Meo,,
Nr,X,Y
1,7511928.629,4692330.070
2,7511923.533,4692321.004
3,7511922.966,4692321.232
4,7511921.643,4692318.969
5,7511920.597,4692319.557
6,7511917.707,4692314.413
7,7511872.333,4692339.919
8,7511881.644,4692356.483
