Koordinatat e lejës Morea Ll CDE,,
Nr,X,Y
1,7511935.654,4692409.245
2,7511942.222,4692395.807
3,7511941.554,4692395.271
4,7511950.462,4692384.149
5,7511934.523,4692371.382
6,7511925.220,4692382.997
7,7511916.877,4692400.068
8,7511916.742,4692400.002
9,7511925.085,4692382.931
10,7511903.029,4692372.151
11,7511894.685,4692389.223
12,7511894.552,4692389.157
13,7511902.895,4692372.086
14,7511876.615,4692359.243
15,7511872.027,4692368.631
16,7511873.689,4692369.444
17,7511869.934,4692377.126
