Koordinatat e Katit 10 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
2,7511951.526,4692298.512,648.429,Kati 10,Shtëpi-Ndërtesë,PM
3,7511954.182,4692295.198,648.416,Kati 10,Shtëpi-Ndërtesë,PM
4,7511953.881,4692294.972,648.372,Kati 10,Shtëpi-Ndërtesë,PM
5,7511955.630,4692292.736,648.407,Kati 10,Shtëpi-Ndërtesë,PM
6,7511957.004,4692293.763,648.435,Kati 10,Shtëpi-Ndërtesë,PM
7,7511963.358,4692285.904,648.403,Kati 10,Shtëpi-Ndërtesë,PM
8,7511968.900,4692290.430,648.400,Kati 10,Shtëpi-Ndërtesë,PM
9,7511967.503,4692292.166,648.409,Kati 10,Shtëpi-Ndërtesë,PM
10,7511970.856,4692294.819,648.417,Kati 10,Shtëpi-Ndërtesë,PM
11,7511970.296,4692295.530,648.431,Kati 10,Shtëpi-Ndërtesë,PM
12,7511975.277,4692299.483,648.457,Kati 10,Shtëpi-Ndërtesë,PM
13,7511969.568,4692306.544,648.422,Kati 10,Shtëpi-Ndërtesë,PM
14,7511969.862,4692306.799,648.419,Kati 10,Shtëpi-Ndërtesë,PM
15,7511967.622,4692309.611,648.429,Kati 10,Shtëpi-Ndërtesë,PM
16,7511966.346,4692308.617,648.426,Kati 10,Shtëpi-Ndërtesë,PM
17,7511965.448,4692309.747,648.413,Kati 10,Shtëpi-Ndërtesë,PM
18,7511942.277,4692295.128,648.421,Kati 10,Shtëpi-Ndërtesë,PM
19,7511942.548,4692295.333,648.433,Kati 10,Shtëpi-Ndërtesë,PM
20,7511943.304,4692294.424,648.411,Kati 10,Shtëpi-Ndërtesë,PM
21,7511946.275,4692296.751,648.431,Kati 10,Shtëpi-Ndërtesë,PM
22,7511945.525,4692297.684,648.429,Kati 10,Shtëpi-Ndërtesë,PM
23,7511949.583,4692300.879,648.425,Kati 10,Shtëpi-Ndërtesë,PM
24,7511951.450,4692298.614,648.524,Kati 10,Shtëpi-Ndërtesë,PM
25,7511965.400,4692309.827,648.409,Kati 10,Shtëpi-Ndërtesë,PM
26,7511964.612,4692310.787,648.480,Kati 10,Shtëpi-Ndërtesë,PM
27,7511975.288,4692319.310,648.500,Kati 10,Shtëpi-Ndërtesë,PM
28,7511964.843,4692332.316,648.408,Kati 10,Shtëpi-Ndërtesë,PM
29,7511932.201,4692306.102,648.499,Kati 10,Shtëpi-Ndërtesë,PM
30,7511939.142,4692297.442,648.478,Kati 10,Shtëpi-Ndërtesë,PM
31,7511939.879,4692298.022,648.419,Kati 10,Shtëpi-Ndërtesë,PM
