Koordinatat e Katit  4 të projektuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
2,7511951.508,4692298.458,0,Kati 4,Shtëpi-Ndërtesë,PP
3,7511954.138,4692295.184,0,Kati 4,Shtëpi-Ndërtesë,PP
4,7511953.865,4692294.965,0,Kati 4,Shtëpi-Ndërtesë,PP
5,7511955.662,4692292.727,0,Kati 4,Shtëpi-Ndërtesë,PP
6,7511956.988,4692293.792,0,Kati 4,Shtëpi-Ndërtesë,PP
7,7511963.347,4692285.874,0,Kati 4,Shtëpi-Ndërtesë,PP
8,7511968.898,4692290.332,0,Kati 4,Shtëpi-Ndërtesë,PP
9,7511967.454,4692292.131,0,Kati 4,Shtëpi-Ndërtesë,PP
10,7511970.845,4692294.855,0,Kati 4,Shtëpi-Ndërtesë,PP
11,7511970.321,4692295.507,0,Kati 4,Shtëpi-Ndërtesë,PP
12,7511975.256,4692299.471,0,Kati 4,Shtëpi-Ndërtesë,PP
13,7511969.570,4692306.552,0,Kati 4,Shtëpi-Ndërtesë,PP
14,7511969.881,4692306.802,0,Kati 4,Shtëpi-Ndërtesë,PP
15,7511967.591,4692309.654,0,Kati 4,Shtëpi-Ndërtesë,PP
16,7511966.344,4692308.652,0,Kati 4,Shtëpi-Ndërtesë,PP
17,7511965.503,4692309.699,0,Kati 4,Shtëpi-Ndërtesë,PP
