,,
"Koordinatat e objektit , LlG",,
Nr,X,Y
1,7511951.414,4692298.575
2,7511949.535,4692300.914
3,7511942.246,4692295.059
4,7511939.803,4692298.100
5,7511939.063,4692297.505
6,7511932.175,4692306.082
7,7511964.843,4692332.319
8,7511976.052,4692318.363
9,7511963.269,4692285.811
10,7511952.733,4692298.929
11,7511952.148,4692298.460
12,7511951.898,4692298.772
13,7511965.503,4692309.699
14,7511971.890,4692301.746
15,7511972.826,4692302.497
16,7511977.225,4692297.020
