Koordinatat e parcelës së  rregulluar,,
Nr,X,Y
1,7511890.369,4692363.793
2,7511896.416,4692359.665
3,7511900.685,4692355.908
4,7511901.551,4692355.146
5,7511913.479,4692345.098
6,7511926.749,4692334.174
7,7511936.938,4692325.820
8,7511939.620,4692323.621
9,7511892.120,4692360.198
10,7511886.122,4692357.267
11,7511884.116,4692357.956
12,7511882.821,4692360.606
13,7511877.273,4692357.894
14,7511874.793,4692362.971
15,7511874.523,4692362.839
16,7511873.117,4692365.714
17,7511873.388,4692365.846
18,7511872.389,4692367.888
19,7511884.976,4692357.196
