SS,230,0.100,19.4134000000,1.4407000000,7.670,PERDHESA
SS,231,0.100,179.3545000000,-0.3051000000,24.670,TROTUAR
RS,BASKIA5,0.100,256.3048000000,-1.5816000000,48.400,
RS,KOLBASKIA3,0.100,136.4649000000,-1.0456000000,87.670,
RS,KOL-BAS1,0.100,174.3914000000,-0.4610000000,32.090,
BKB,BASKIA5,0.100,256.3055247669,,,
RS,BASKIA5,0.100,256.3048000000,-1.5816000000,48.400,
RS,KOL-BAS1,0.100,174.3914000000,-0.4610000000,32.090,
BKB,BASKIA5,0.100,256.3043775370,,,
RS,KOLBASKIA3,0.100,160.1901000000,-1.0818000000,83.460,
RS,BASKIA5,0.100,286.1254000000,-1.5615000000,49.390,
RS,KOL-ARM-4,0.100,71.1844000000,-5.3449000000,46.580,
RS,KOL-BAS1,0.400,202.0645000000,-0.1616000000,27.860,
BKB,KOLBASKIA3,0.100,160.1901733306,,,
SS,232,1.350,17.1416000000,-0.3102000000,31.540,PERDHESA
SS,233,1.350,11.5011000000,-0.3021000000,28.490,PERDHESA
SS,234,1.350,5.4041000000,-0.3017000000,27.290,PERDHESA
SS,235,1.350,0.0722000000,-0.3253000000,27.600,PERDHESA
SS,236,1.350,355.3101000000,-0.3236000000,29.180,PERDHESA
SS,237,1.350,343.3318000000,-0.2937000000,37.150,PERDHESA
SS,238,1.350,306.1824000000,-0.2927000000,30.370,PERDHESA
SS,239,1.350,285.0630000000,-5.1354000000,2.830,PERDHESA
SS,240,1.350,247.2316000000,-21.4416000000,0.700,PERDHESA
SS,241,1.350,180.3808000000,-12.5511000000,1.130,PERDHESA
SS,242,1.350,58.1542000000,-0.3323000000,24.500,PERDHESA
RS,BASKIA5,0.100,212.0719000000,-7.5009000000,41.790,
RS,KOL-BAS1,0.700,117.0300000000,-7.0100000000,31.640,
RS,KOLBASKIA3,1.000,87.4801000000,-3.0050000000,91.060,
BKB,BASKIA5,0.100,212.0731601312,,,
RS,KOLBASKIA3,0.100,174.4333000000,-5.2519000000,90.930,
RS,KOL-BAS1,0.100,207.1417000000,-12.4209000000,33.510,
RS,BASKIA5,0.100,295.1352000000,-10.5902000000,45.140,
BKB,KOLBASKIA3,0.100,174.4328179907,,,
SS,243,0.100,180.3224000000,-13.4226000000,6.070,KATI 2
SS,244,0.100,315.0955000000,-3.3124000000,23.910,KATI 2
SS,245,0.100,355.2156000000,-3.0302000000,27.770,KATI 2
