LL-CDE-L-SU-2,7511925.221,4692343.950,610.235,,610.235,1969-12-31,16:00:00,0.000
LLCDE-P1,7511950.341,4692383.827,664.076,,664.076,2020-12-05,12:04:28,
LLCDE-P2,7511924.111,4692345.007,664.070,,664.070,2020-12-05,12:08:42,
LLE-B2-FS1,7511897.424,4692387.930,611.220,,611.220,2020-12-05,12:21:55,
LLD--B2-FS1,7511908.793,4692388.156,611.194,,611.194,2020-12-11,11:52:54,
LLD-B2-FS2,7511907.308,4692401.548,618.326,,618.326,2020-12-11,14:51:37,
LLCDE-NIV1,7511926.466,4692344.227,617.994,,617.994,2020-12-11,14:57:35,
LLCDE-NIV2,7511926.466,4692344.227,612.594,,612.594,1969-12-31,16:00:00,0.000
LLE-B2-FS2,7511890.022,4692384.231,612.725,,612.725,2020-12-16,12:09:57,
LLD-B2-FS4,7511908.032,4692391.019,612.710,,612.710,2020-12-21,10:11:23,
LLE-B1-FS1,7511889.396,4692382.516,615.341,,615.341,2021-02-22,14:27:10,
LLD-B1-FS1,7511910.420,4692387.318,615.299,,615.299,2021-02-25,09:51:09,
LLE-P-FS1,7511885.228,4692380.291,618.067,,618.067,2021-03-07,15:21:06,
LLD-P-FS1,7511910.056,4692387.830,618.056,,618.056,2021-03-18,09:52:10,
LLE-P-FS2,7511881.111,4692379.413,621.594,,621.594,2021-04-16,09:04:43,
LLD-K1-FS1,7511915.319,4692385.272,621.621,,621.621,2021-04-17,14:40:05,
LLC-GE-FS1,7511918.607,4692407.285,618.596,,618.596,2021-05-10,08:52:53,
LLC-NIV1,7511920.696,4692390.711,615.337,,615.337,2021-05-10,09:40:05,
LLA-NIV1,7511939.339,4692375.427,615.279,,615.279,2021-05-10,09:43:16,
LLC-NIV2,7511920.696,4692390.711,612.937,,612.937,1969-12-31,16:00:00,0.000
LLC-KON-FS1,7511924.808,4692406.178,613.779,,613.779,2021-05-18,15:30:13,
LLC-KON-FS3,7511924.526,4692404.494,613.792,,613.792,2021-05-22,09:37:51,
LLC-B2-FS1,7511924.564,4692410.778,618.939,,618.939,2021-07-14,10:42:47,
LLC-B1+FS1,7511927.668,4692404.553,618.066,,618.066,2021-08-22,17:42:23,
LLC-P-FS1,7511925.380,4692405.666,621.043,,621.043,2021-09-09,06:59:20,
LLC-K1-FS1,7511928.751,4692404.543,625.063,,625.063,2021-09-24,11:09:24,
LLC-K5-FS1,7511929.954,4692398.241,636.723,,636.723,2021-11-18,09:52:28,
LS1,7511942.375,4692437.811,620.946,,620.946,1969-12-31,16:00:00,0.000
