O-1	7511917.615	4692341.281
O-2	7511918.154	4692341.544
O-3	7511917.439	4692341.64
O-4	7511917.978	4692341.903
O-5	7511921.928	4692343.388
O-6	7511922.467	4692343.652
O-7	7511924.726	4692343.747
O-8	7511921.752	4692343.748
O-9	7511925.038	4692343.998
O-10	7511922.291	4692344.011
O-11	7511924.351	4692344.215
O-12	7511924.663	4692344.465
O-13	7511915.068	4692346.492
O-14	7511915.607	4692346.755
O-15	7511914.893	4692346.851
O-16	7511928.608	4692346.878
O-17	7511915.432	4692347.114
O-18	7511928.358	4692347.19
O-19	7511929.076	4692347.253
O-20	7511928.826	4692347.565
O-21	7511919.381	4692348.599
O-22	7511919.92	4692348.863
O-23	7511919.205	4692348.959
O-24	7511919.744	4692349.222
O-25	7511933.108	4692350.504
O-26	7511932.857	4692350.816
O-27	7511933.576	4692350.879
O-28	7511933.326	4692351.191
O-29	7511925.069	4692351.338
O-30	7511912.697	4692351.343
O-31	7511925.381	4692351.589
O-32	7511913.236	4692351.607
O-33	7511912.522	4692351.703
O-34	7511913.061	4692351.966
O-35	7511924.442	4692352.116
O-36	7511924.753	4692352.367
O-37	7511917.01	4692353.451
O-38	7511917.549	4692353.714
O-39	7511916.834	4692353.81
O-40	7511917.373	4692354.074
O-41	7511938.179	4692354.591
O-42	7511937.929	4692354.903
O-43	7511938.647	4692354.966
O-44	7511929.671	4692355.047
O-45	7511929.866	4692355.203
O-46	7511938.397	4692355.278
O-47	7511922.624	4692356.083
O-48	7511928.73	4692356.215
O-49	7511922.983	4692356.259
O-50	7511928.925	4692356.371
O-51	7511910.238	4692356.374
O-52	7511922.361	4692356.622
O-53	7511940.709	4692356.63
O-54	7511910.777	4692356.638
O-55	7511910.063	4692356.734
O-56	7511922.72	4692356.798
O-57	7511940.459	4692356.942
O-58	7511910.602	4692356.997
O-59	7511941.178	4692357.005
O-60	7511940.928	4692357.317
O-61	7511914.551	4692358.482
O-62	7511915.09	4692358.746
O-63	7511914.375	4692358.841
O-64	7511926.4	4692358.986
O-65	7511943.703	4692359.038
O-66	7511914.914	4692359.105
O-67	7511926.712	4692359.237
O-68	7511944.016	4692359.288
O-69	7511926.024	4692359.453
O-70	7511926.335	4692359.704
O-71	7511934.057	4692359.865
O-72	7511934.368	4692360.116
O-73	7511933.68	4692360.332
O-74	7511933.992	4692360.583
O-75	7511942.455	4692360.601
O-76	7511942.768	4692360.851
O-77	7511920.165	4692361.115
O-78	7511920.524	4692361.29
O-79	7511907.779	4692361.406
O-80	7511919.902	4692361.654
O-82	7511907.604	4692361.765
O-83	7511920.261	4692361.829
O-84	7511936.447	4692361.92
O-86	7511936.196	4692362.231
O-87	7511936.914	4692362.296
O-88	7511936.663	4692362.607
O-89	7511923.042	4692362.743
O-90	7511923.581	4692363.007
O-91	7511931.471	4692363.073
O-92	7511922.866	4692363.103
O-93	7511931.783	4692363.324
O-94	7511923.406	4692363.366
O-95	7511912.092	4692363.513
O-96	7511931.095	4692363.54
O-97	7511912.631	4692363.777
O-98	7511931.406	4692363.791
O-99	7511911.916	4692363.873
O-106	7511934.313	4692365.363
O-107	7511933.625	4692365.58
O-108	7511933.937	4692365.831
O-109	7511917.572	4692366.192
O-110	7511918.111	4692366.455
O-111	7511917.397	4692366.551
O-112	7511905.237	4692366.608
O-113	7511928.388	4692366.74
O-114	7511917.936	4692366.815
O-115	7511905.776	4692366.872
O-116	7511905.061	4692366.968
O-117	7511928.138	4692367.052
O-118	7511928.856	4692367.115
O-119	7511936.556	4692367.17
O-120	7511905.6	4692367.231
O-121	7511936.867	4692367.421
O-122	7511928.606	4692367.427
O-123	7511936.179	4692367.638
O-124	7511936.491	4692367.889
O-125	7511920.817	4692368.136
O-126	7511921.329	4692368.448
O-127	7511920.608	4692368.477
O-128	7511909.549	4692368.716
O-129	7511930.919	4692368.778
O-130	7511921.121	4692368.79
O-131	7511910.088	4692368.98
O-132	7511909.374	4692369.075
O-133	7511930.669	4692369.09
O-134	7511931.388	4692369.153
O-135	7511909.913	4692369.339
O-136	7511931.138	4692369.465
O-137	7511925.374	4692370.914
O-138	7511933.547	4692370.921
O-139	7511925.886	4692371.226
O-140	7511933.297	4692371.233
O-141	7511925.166	4692371.255
O-142	7511915.03	4692371.395
O-143	7511934.327	4692371.546
O-144	7511902.822	4692371.55
O-146	7511915.569	4692371.658
O-147	7511914.854	4692371.754
O-148	7511903.361	4692371.813
O-149	7511934.077	4692371.858
O-150	7511902.646	4692371.909
O-151	7511915.393	4692372.017
O-152	7511903.185	4692372.173
O-153	7511927.919	4692372.465
O-154	7511928.431	4692372.777
O-155	7511927.711	4692372.807
O-156	7511918.118	4692372.874
O-157	7511928.223	4692373.119
O-158	7511918.631	4692373.187
O-159	7511917.91	4692373.216
O-160	7511918.422	4692373.528
O-161	7511907.134	4692373.657
O-162	7511907.673	4692373.921
O-163	7511906.959	4692374.017
O-164	7511907.498	4692374.28
O-165	7511931.513	4692374.417
O-166	7511931.825	4692374.667
O-167	7511931.138	4692374.885
O-168	7511931.45	4692375.135
O-169	7511923.04	4692375.875
O-170	7511923.552	4692376.187
O-171	7511922.832	4692376.216
O-172	7511912.615	4692376.336
O-173	7511923.344	4692376.528
O-174	7511913.154	4692376.599
O-175	7511912.439	4692376.695
O-176	7511912.978	4692376.959
O-177	7511915.67	4692377.829
O-178	7511916.209	4692378.092
O-179	7511915.494	4692378.188
O-180	7511916.033	4692378.451
O-181	7511927.978	4692378.825
O-182	7511928.291	4692379.075
O-183	7511927.603	4692379.293
O-184	7511927.916	4692379.543
O-185	7511920.836	4692380.353
O-186	7511921.375	4692380.617
O-187	7511920.66	4692380.713
O-188	7511921.199	4692380.976
O-189	7511924.836	4692382.308
O-190	7511925.375	4692382.572
O-191	7511924.66	4692382.668
O-192	7511925.199	4692382.931
O-100	7511912.455	4692364.136
O-101	7511938.713	4692364.494
O-102	7511939.024	4692364.745
O-103	7511938.336	4692364.961
O-104	7511934.002	4692365.112
O-105	7511938.648	4692365.212
O-660	7511882.027	4692361.832
O-661	7511884.617	4692356.531
O-662	7511905.147	4692366.564
O-663	7511917.569	4692341.147
O-664	7511924.117	4692344.347
O-665	7511924.648	4692343.684
O-666	7511943.588	4692359.823
O-667	7511945.543	4692361.394
O-668	7511936.394	4692372.817
O-669	7511934.515	4692371.312
