1,4692332.413,7511964.959
2,4692347.738,7511984.041
3,4692331.91,7512008.082
4,4692314.454,7511996.588
5,4692320.748,7511987.028
6,4692321.861,7511982.968
7,4692320.37,7511979.03
8,4692318.223,7511976.356
OF1,4692333.826,7511961.13
OF2,4692315.27,7511976.034
OF3,4692318.733,7511980.345
OF4,4692319.764,7511983.067
OF5,4692318.994,7511985.873
OF6,4692311.49,7511997.271
OF7,4692333.707,7512011.899
OF8,4692352.129,7511983.918
P1,4692335.166,7512010.332
P10,4692325.778,7512006.08
P11,4692324.776,7512005.42
P12,4692323.774,7512004.76
P13,4692322.771,7512004.1
P14,4692321.769,7512003.44
P15,4692320.767,7512002.781
P16,4692318.762,7512001.461
P17,4692317.76,7512000.801
P18,4692316.758,7512000.141
P19,4692315.756,7511999.481
P2,4692333.98,7512010.516
P20,4692314.753,7511998.821
P21,4692313.751,7511998.161
P22,4692312.749,7511997.501
P23,4692312.132,7511996.357
P24,4692311.515,7511995.213
P3,4692332.794,7512010.699
P4,4692331.792,7512010.039
P5,4692330.79,7512009.379
P6,4692329.787,7512008.72
P7,4692328.785,7512008.06
P8,4692327.783,7512007.4
P9,4692326.781,7512006.74
TH1,4692333.519,7511963.942
TH2,4692318.082,7511976.341
TH3,4692320.292,7511979.093
TH4,4692321.761,7511982.972
TH5,4692320.665,7511986.973
TH6,4692314.26,7511996.7
TH7,4692333.136,7512009.128
TH8,4692349.657,7511984.035
TH9,4692320.031,7511974.776
TH10,4692327.621,7511984.226
TH11,4692317.853,7511999.067
