7511934.523	4692371.382
7511934.148	4692371.851
7511934.46	4692372.101
7511934.835	4692371.633
7511928.334	4692379.109
7511927.959	4692379.578
7511928.271	4692379.828
7511928.646	4692379.36
7511931.866	4692374.7
7511931.491	4692375.168
7511931.803	4692375.418
7511932.178	4692374.95
7511882.37	4692362.723
7511882.634	4692362.184
7511881.915	4692361.833
7511881.652	4692362.372
7511909.709	4692383.875
7511909.973	4692383.336
7511909.254	4692382.985
7511908.99	4692383.524
7511894.551	4692389.157
7511894.726	4692388.797
7511894.367	4692388.622
7511893.873	4692388.38
7511893.697	4692388.74
7511912.924	4692398.136
7511913.187	4692397.597
7511912.469	4692397.246
7511912.205	4692397.785
7511883.991	4692378.765
7511884.216	4692378.875
7511884.875	4692377.527
7511884.65	4692377.417
7511881.928	4692382.987
7511882.152	4692383.097
7511882.855	4692381.66
7511882.63	4692381.55
7511895.738	4692377.048
7511896.002	4692376.509
7511895.283	4692376.157
7511895.02	4692376.696
7511938.113	4692404.214
7511938.377	4692403.675
7511937.658	4692403.324
7511937.395	4692403.863
7511887.267	4692365.116
7511887.53	4692364.577
7511886.812	4692364.226
7511886.548	4692364.765
7511881.646	4692376.617
7511881.91	4692376.078
7511881.191	4692375.727
7511880.927	4692376.266
7511879.187	4692381.648
7511879.451	4692381.109
7511878.732	4692380.758
7511878.469	4692381.297
7511884.193	4692371.405
7511884.457	4692370.866
7511883.738	4692370.515
7511883.475	4692371.054
7511876.75	4692374.224
7511877.013	4692373.685
7511876.294	4692373.334
7511876.031	4692373.873
7511879.563	4692367.807
7511879.204	4692367.631
7511878.501	4692369.069
7511878.861	4692369.244
7511940.112	4692400.125
7511939.572	4692399.862
7511939.221	4692400.581
7511939.76	4692400.844
7511930.36	4692388.292
7511930.672	4692388.542
7511931.704	4692387.254
7511931.392	4692387.004
7511934.952	4692395.823
7511934.458	4692395.581
7511934.019	4692396.48
7511934.513	4692396.721
7511934.57	4692408.047
7511934.307	4692408.587
7511935.654	4692409.245
7511935.918	4692408.706
7511932.363	4692401.404
7511932.627	4692400.865
7511931.908	4692400.513
7511931.645	4692401.052
7511929.904	4692406.435
