1222,7511932.1870,4692306.0980,639.8170,29
1223,7511939.1060,4692297.4513,0.0000,30
1224,7511942.2930,4692295.0910,639.7890,18
1225,7511942.5410,4692295.3000,639.7890,19
1226,7511943.2810,4692294.3730,639.7050,20
1227,7511946.2620,4692296.7170,639.7060,21
1228,7511945.5140,4692297.6680,639.7190,22
1229,7511949.5930,4692300.8690,639.7780,23
1230,7511951.4220,4692298.6410,639.7590,24
1231,7511965.4070,4692309.7760,639.6800,25
1232,7511964.6340,4692310.7830,639.7800,26
1233,7511975.3070,4692319.3219,639.8030,27
1234,7511939.8467,4692298.0462,639.7890,31
1235,7511964.8470,4692332.3456,639.8010,28
1236,7511970.8500,4692294.8360,639.8550,10
1237,7511970.2940,4692295.5480,639.8140,11
1238,7511967.4840,4692292.1640,639.8080,9
1239,7511968.9270,4692290.4102,639.7010,8
1241,7511963.3880,4692285.9300,639.7120,7
1242,7511956.9830,4692293.7700,639.7930,6
1243,7511955.6420,4692292.7060,639.7240,5
1244,7511953.8640,4692294.9710,639.7460,4
1245,7511954.1340,4692295.1820,639.7510,3
1246,7511951.5280,4692298.4890,639.7210,2
1247,7511965.4870,4692309.7020,639.7320,17
1248,7511966.3320,4692308.6060,639.7110,16
1249,7511967.6240,4692309.6280,639.7880,15
1250,7511969.8620,4692306.7970,639.7490,14
1251,7511969.5560,4692306.5460,639.7460,13
1252,7511975.2560,4692299.4750,639.7620,12
