A1	7512057.317	4692328.478	0
A3	7512005.772	4692339.077	0
A5	7511987.410	4692351.797	0
A6	7511986.673	4692352.201	0
A7	7511985.843	4692352.338	0
A8	7511985.015	4692352.192	0
A9	7511984.282	4692351.780	0
A10	7511967.317	4692338.154	0
A11	7511926.891	4692305.686	0
A12	7512057.317	4692333.301	0
A14	7512008.192	4692343.164	0
A16	7511992.916	4692353.524	0
A17	7511988.484	4692347.440	0
A18	7511983.439	4692353.026	0
A19	7511972.538	4692344.272	0
A20	7511925.790	4692306.725	0
A21	7511924.358	4692313.278	0
A22	7511979.135	4692357.266	0
A23	7511979.783	4692357.897	0
A24	7511980.312	4692358.629	0
A25	7511980.705	4692359.443	0
A26	7511981.002	4692360.632	0
A27	7511981.013	4692361.858	0
A28	7511980.737	4692363.052	0
A29	7511980.189	4692364.149	0
A30	7511979.399	4692365.086	0
A31	7511974.582	4692369.882	0
A32	7511969.971	4692374.875	0
A33	7511923.403	4692314.426	0
A34	7511977.414	4692357.806	0
A35	7511977.851	4692358.357	0
A36	7511978.027	4692359.039	0
A37	7511977.913	4692359.732	0
A38	7511977.528	4692360.320	0
A39	7511972.741	4692364.958	0
A40	7511968.144	4692369.785	0
A41	7511963.744	4692374.793	0
